anzsic06,Area,year,geo_count,ec_count
A012,A105400,2000,15,9
A012,A105500,2000,3,3
A012,A105700,2000,0,0
A012,A105900,2000,0,0
A012,A106000,2000,0,0
A012,A106300,2000,6,0
A012,A106700,2000,0,0
A012,A106900,2000,3,0
A012,A107000,2000,0,0
A012,A107100,2000,3,0
A012,A107600,2000,3,0
A012,A107700,2000,0,0
A012,A107800,2000,6,12
A012,A108000,2000,0,0
A012,A108500,2000,0,3
A012,A108600,2000,6,0
A012,A108700,2000,0,0
A012,A108800,2000,0,6
A012,A109000,2000,6,15
A012,A109100,2000,33,90
A012,A109200,2000,24,60
A012,A109300,2000,12,25
A012,A109400,2000,30,30
A012,A109500,2000,3,0
A012,A109700,2000,6,3
A012,A109800,2000,0,0
A012,A109900,2000,0,0
A012,A110100,2000,3,0
A012,A110200,2000,6,6
A012,A110400,2000,9,9
A012,A110700,2000,9,18
A012,A110800,2000,3,0
A012,A110900,2000,6,0
A012,A111100,2000,0,0
A012,A111200,2000,6,40
A012,A111500,2000,9,100
A012,A111600,2000,6,9
A012,A112100,2000,3,0
A012,A112300,2000,3,75
A012,A112500,2000,0,0
A012,A112600,2000,6,6
A012,A112700,2000,0,0
A012,A113200,2000,3,12
A012,A113400,2000,6,9
A012,A113500,2000,6,30
A012,A113600,2000,3,0
A012,A113700,2000,3,0
A012,A113800,2000,0,0
A012,A114000,2000,3,0
A012,A114200,2000,9,30
A012,A114700,2000,12,40
A012,A114800,2000,0,0
A012,A114900,2000,3,3
A012,A115000,2000,9,6
A012,A115300,2000,0,0
A012,A115500,2000,9,3
A012,A115600,2000,6,6
A012,A115900,2000,3,0
A012,A116100,2000,18,9
A012,A116300,2000,9,30
A012,A116400,2000,9,18
A012,A116600,2000,0,0
A012,A117000,2000,33,50
A012,A117100,2000,0,9
A012,A117600,2000,0,0
A012,A118000,2000,0,3
A012,A119600,2000,0,0
A012,A120200,2000,3,6
A012,A120300,2000,3,0
A012,A120700,2000,3,0
A012,A121100,2000,0,0
A012,A121500,2000,0,0
A012,A121600,2000,6,0
A012,A122000,2000,0,0
A012,A122300,2000,3,0
A012,A122500,2000,3,0
A012,A123200,2000,0,0
